B27 6BB,52.454201,-1.828109,133,2,1,01/01/2013,1,04/01/2013 00:00,7,3,12TBLT1,12TBLT1 - Transf Blockage Restricting Toilet Use,411778,284041
,,,,,,,,,,,,,,
B20 3SG,52.510681,-1.916162,111,8,1,01/01/2013,1,01/01/2013 00:00,7,3,12TBLR1,12TBLR1 - Transf Sewer Blockage Repeat,405787,290313
,,,,,,,,,,,,,,
WS10 7SE,52.558675,-2.037777,128,2,1,01/01/2013,1,03/01/2013 00:00,6,1,2BLOC1,2BLOC1 - Sewer Blockage,397536,295649
,,,,,,,,,,,,,,
B92 8RA,52.435685,-1.786082,125,2,1,01/01/2013,1,02/01/2013 00:00,7,3,2BLOC1,2BLOC1 - Sewer Blockage,414640,281989
,,,,,,,,,,,,,,
B20 2RA,52.512554,-1.920402,128,8,1,01/01/2013,1,02/01/2013 00:00,7,3,2BLOC1,2BLOC1 - Sewer Blockage,405499,290521
,,,,,,,,,,,,,,
B11 3JX,52.450613,-1.861804,124,2,1,01/01/2013,1,02/01/2013 00:00,10,1,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,409489,283637
,,,,,,,,,,,,,,
B20 2AA,52.515405,-1.922269,130,6,1,01/01/2013,1,02/01/2013 00:00,6,1,2EXFL1,2EXFL1 - External Flooding Property Boundary,405372,290838
,,,,,,,,,,,,,,
WV10 8SN,52.614202,-2.102853,159,2,1,01/01/2013,1,02/01/2013 00:00,6,1,2EXFL1,2EXFL1 - External Flooding Property Boundary,393133,301830
,,,,,,,,,,,,,,
B13 0EX,52.42427,-1.859857,125,2,1,01/01/2013,1,02/01/2013 00:00,6,1,2MAIBL1,2MAIBL1 - Mains Sewer Blockage,409627,280707
,,,,,,,,,,,,,,
B11 3PG,52.448268,-1.834738,130,2,1,01/01/2013,1,02/01/2013 00:00,7,3,12TBLC1,12TBLC1 - Transf Sewer Blockage,411329,283380
,,,,,,,,,,,,,,
B91 3UP,52.39757,-1.782563,137,2,1,01/01/2013,1,02/01/2013 00:00,3,3,12TBLT1,12TBLT1 - Transf Blockage Restricting Toilet Use,414892,277750
,,,,,,,,,,,,,,
WS3 1QS,52.597407,-1.979702,136,2,1,01/01/2013,1,04/01/2013 00:00,3,1,2BLOC1,2BLOC1 - Sewer Blockage,401472,299957
,,,,,,,,,,,,,,
WS2 7BE,52.601427,-1.990847,149,2,1,01/01/2013,1,04/01/2013 00:00,6,1,2BLOC1,2BLOC1 - Sewer Blockage,400717,300404
,,,,,,,,,,,,,,
WV14 6QP,52.571689,-2.080503,140,6,1,01/01/2013,1,03/01/2013 00:00,6,3,2BLOC1,2BLOC1 - Sewer Blockage,394641,297099
,,,,,,,,,,,,,,
B76 1JG,52.534507,-1.793254,108,2,1,01/01/2013,1,03/01/2013 00:00,7,3,12TBLC1,12TBLC1 - Transf Sewer Blockage,414121,292980
,,,,,,,,,,,,,,
B67 5BG,52.472932,-1.972692,194,2,1,01/01/2013,1,04/01/2013 00:00,6,1,2BLOC1,2BLOC1 - Sewer Blockage,401952,286111
,,,,,,,,,,,,,,
B44 8PP,52.540645,-1.884434,140,8,1,01/01/2013,1,04/01/2013 00:00,3,1,2BLOR1,2BLOR1 - Sewer Blockage Repeat,407935,293649
,,,,,,,,,,,,,,
B14 4BU,52.417585,-1.870699,132,2,1,01/01/2013,1,02/01/2013 00:00,7,3,12TBLC1,12TBLC1 - Transf Sewer Blockage,408891,279962
,,,,,,,,,,,,,,
B37 7BB,52.466912,-1.747101,99,1,1,01/01/2013,1,03/01/2013 00:00,7,3,12TBLT1,12TBLT1 - Transf Blockage Restricting Toilet Use,417278,285471
,,,,,,,,,,,,,,
WV10 6UB,52.615674,-2.140194,112,2,1,01/01/2013,1,03/01/2013 00:00,1,3,12TBLT1,12TBLT1 - Transf Blockage Restricting Toilet Use,390605,301998
,,,,,,,,,,,,,,
B8 1NA,52.488842,-1.856795,110,8,1,01/01/2013,1,03/01/2013 00:00,10,1,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,409821,287890
,,,,,,,,,,,,,,
B91 2BW,52.420846,-1.783213,139,2,1,01/01/2013,1,03/01/2013 00:00,7,3,12TBLT1,12TBLT1 - Transf Blockage Restricting Toilet Use,414840,280339
,,,,,,,,,,,,,,
B21 0PH,52.502491,-1.944993,150,6,1,01/01/2013,1,03/01/2013 00:00,7,1,2BLOR1,2BLOR1 - Sewer Blockage Repeat,403831,289400
,,,,,,,,,,,,,,
B9 5DR,52.474262,-1.850924,131,8,1,01/01/2013,1,03/01/2013 00:00,7,1,2BLOC1,2BLOC1 - Sewer Blockage,410223,286269
,,,,,,,,,,,,,,
B5 7LA,52.464871,-1.896496,110,2,1,01/01/2013,1,04/01/2013 00:00,7,3,12TBLT1,12TBLT1 - Transf Blockage Restricting Toilet Use,407129,285219
,,,,,,,,,,,,,,
B11 3AN,52.444548,-1.856335,116,2,1,01/01/2013,1,04/01/2013 00:00,6,1,2BLOT1,2BLOT1 - Sewer Blockage Restricted Toilet Use,409862,282963
,,,,,,,,,,,,,,
B14 5NU,52.40726,-1.893015,152,2,1,01/01/2013,1,04/01/2013 00:00,7,3,12TMAI1,12TMAI1 - Transf Mains Sewer Blockage,407375,278811
,,,,,,,,,,,,,,
B12 9AD,52.455404,-1.886011,132,2,1,01/01/2013,1,04/01/2013 00:00,7,3,12TMAI1,12TMAI1 - Transf Mains Sewer Blockage,407843,284167
,,,,,,,,,,,,,,
B20 3JG,52.514635,-1.9022,105,2,1,01/01/2013,1,04/01/2013 00:00,7,1,2BLOC1,2BLOC1 - Sewer Blockage,406734,290754
,,,,,,,,,,,,,,
B66 4DT,52.480941,-1.967577,177,2,1,01/01/2013,1,04/01/2013 00:00,6,1,2EXFL1,2EXFL1 - External Flooding Property Boundary,402299,287002
,,,,,,,,,,,,,,
B14 5YG,52.407848,-1.907992,158,2,1,01/01/2013,1,01/01/2013 00:00,7,9,2INDR2,2INDR2 - Int Flooding Detached Buildings Repeat,406356,278875
,,,,,,,,,,,,,,
B64 6DQ,52.473973,-2.073331,118,2,1,01/01/2013,1,01/01/2013 00:00,7,1,2BLOC1,2BLOC1 - Sewer Blockage,395116,286229
,,,,,,,,,,,,,,
DY3 2JS,52.523554,-2.133622,164,2,1,01/01/2013,1,01/01/2013 00:00,6,11,2EXFL1,2EXFL1 - External Flooding Property Boundary,391031,291750
,,,,,,,,,,,,,,
B34 7SB,52.4903,-1.767055,93,1,1,01/01/2013,1,01/01/2013 00:00,7,3,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,415914,288068
,,,,,,,,,,,,,,
B30 2LY,52.431262,-1.926329,139,2,1,01/01/2013,1,02/01/2013 00:00,7,3,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,405106,281478
,,,,,,,,,,,,,,
DY5 3JF,52.470415,-2.12501,119,2,1,01/01/2013,1,01/01/2013 00:00,7,3,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,391605,285838
,,,,,,,,,,,,,,
B6 6DG,52.503828,-1.889982,117,6,1,01/01/2013,1,01/01/2013 00:00,6,1,2BLOC1,2BLOC1 - Sewer Blockage,407565,289553
,,,,,,,,,,,,,,
B71 3JH,52.538525,-1.984505,150,2,1,01/01/2013,1,01/01/2013 00:00,7,1,12TBLC1,12TBLC1 - Transf Sewer Blockage,401148,293407
,,,,,,,,,,,,,,
B44 8AY,52.533593,-1.890261,117,2,1,01/01/2013,1,02/01/2013 00:00,6,1,2BLOC1,2BLOC1 - Sewer Blockage,407541,292864
,,,,,,,,,,,,,,
B13 8BX,52.448994,-1.885954,150,2,1,01/01/2013,1,02/01/2013 00:00,6,1,2BLOC1,2BLOC1 - Sewer Blockage,407848,283454
,,,,,,,,,,,,,,
B8 2XA,52.495314,-1.84203,100,2,1,01/01/2013,1,02/01/2013 00:00,6,1,2BLOC1,2BLOC1 - Sewer Blockage,410822,288612
,,,,,,,,,,,,,,
B35 6HY,52.524876,-1.786962,88,1,1,01/01/2013,1,02/01/2013 00:00,7,3,2BLOC1,2BLOC1 - Sewer Blockage,414551,291910
,,,,,,,,,,,,,,
B34 7DY,52.498048,-1.776073,104,2,1,01/01/2013,1,04/01/2013 00:00,7,3,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,415299,288928
,,,,,,,,,,,,,,
WV13 3UD,52.582597,-2.075417,134,8,1,01/01/2013,1,03/01/2013 00:00,7,3,12TBLT1,12TBLT1 - Transf Blockage Restricting Toilet Use,394987,298312
,,,,,,,,,,,,,,
B74 4QY,52.589948,-1.84727,178,2,1,01/01/2013,1,04/01/2013 00:00,7,3,12TBLC1,12TBLC1 - Transf Sewer Blockage,410444,299138
,,,,,,,,,,,,,,
B76 2PP,52.549501,-1.797785,121,8,1,01/01/2013,1,03/01/2013 00:00,10,1,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,413809,294647
,,,,,,,,,,,,,,
B18 4PY,52.496319,-1.935706,140,2,1,01/01/2013,1,03/01/2013 00:00,10,1,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,404462,288714
,,,,,,,,,,,,,,
B14 4QS,52.409071,-1.87043,155,5,1,01/01/2013,1,02/01/2013 00:00,17,1,2MAIBL1,2MAIBL1 - Mains Sewer Blockage,408911,279015
,,,,,,,,,,,,,,
B11 2PY,52.459494,-1.860451,115,2,1,01/01/2013,1,02/01/2013 00:00,3,3,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,409579,284625
,,,,,,,,,,,,,,
B31 4LP,52.394082,-1.982057,176,2,1,01/01/2013,1,02/01/2013 00:00,7,3,12TBLC1,12TBLC1 - Transf Sewer Blockage,401318,277340
,,,,,,,,,,,,,,
B6 6LU,52.507229,-1.893362,104,2,1,01/01/2013,1,02/01/2013 00:00,6,1,2BLOT1,2BLOT1 - Sewer Blockage Restricted Toilet Use,407335,289931
,,,,,,,,,,,,,,
WS9 0SJ,52.588898,-1.898995,146,2,1,01/01/2013,1,03/01/2013 00:00,7,1,12TBLC1,12TBLC1 - Transf Sewer Blockage,406940,299015
,,,,,,,,,,,,,,
B16 9JS,52.474452,-1.948267,172,2,1,01/01/2013,1,03/01/2013 00:00,6,1,2BLOC1,2BLOC1 - Sewer Blockage,403611,286281
,,,,,,,,,,,,,,
